o_node,d_node,origin,destination,travel_time,iteration,edge_type
1243-0-4-58,1021-0-99-99,1243,1021,99.0,1,Streetcar Route
1382-0-4-58,1021-0-99-99,1382,1021,136.0,1,Streetcar Route
1571-0-4-58,1021-0-99-99,1571,1021,132.0,1,Streetcar Route
1232-0-4-58,1022-0-99-99,1232,1022,108.0,1,Streetcar Route
1175-0-4-58,1023-0-99-99,1175,1023,88.0,1,Streetcar Route
1018-0-4-58,1034-0-99-99,1018,1034,33.0,1,Streetcar Route
1518-0-4-58,1034-0-99-99,1518,1034,109.0,1,Streetcar Route
1590-0-4-58,1034-0-99-99,1590,1034,114.0,1,Streetcar Route
1250-0-4-58,1035-0-99-99,1250,1035,63.0,1,Streetcar Route
1214-0-4-58,1036-0-99-99,1214,1036,91.0,1,Streetcar Route
1219-0-4-58,1036-0-99-99,1219,1036,86.0,1,Streetcar Route
1574-0-4-58,1036-0-99-99,1574,1036,144.0,1,Streetcar Route
1591-0-4-58,1036-0-99-99,1591,1036,111.0,1,Streetcar Route
1131-0-4-58,1037-0-99-99,1131,1037,118.0,1,Streetcar Route
1238-0-4-58,1037-0-99-99,1238,1037,103.0,1,Streetcar Route
1285-0-4-58,1037-0-99-99,1285,1037,97.0,1,Streetcar Route
1406-0-4-58,1037-0-99-99,1406,1037,123.0,1,Streetcar Route
1131-0-4-58,1038-0-99-99,1131,1038,117.0,1,Streetcar Route
1389-0-4-58,1038-0-99-99,1389,1038,97.0,1,Streetcar Route
1422-0-4-58,1038-0-99-99,1422,1038,87.0,1,Streetcar Route
1559-0-4-58,1038-0-99-99,1559,1038,99.0,1,Streetcar Route
1076-0-4-58,1042-0-99-99,1076,1042,39.0,1,Streetcar Route
1245-0-4-58,1042-0-99-99,1245,1042,90.0,1,Streetcar Route
1090-0-4-58,1043-0-99-99,1090,1043,46.0,1,Streetcar Route
1427-0-4-58,1043-0-99-99,1427,1043,93.0,1,Streetcar Route
1250-0-4-58,1045-0-99-99,1250,1045,63.0,1,Streetcar Route
1214-0-4-58,1046-0-99-99,1214,1046,86.0,1,Streetcar Route
1411-0-4-58,1046-0-99-99,1411,1046,117.0,1,Streetcar Route
