o_node,d_node,origin,destination,travel_time,iteration
1186-0-4-30,1202-0-99-99,1186,1202,30.0,2
1223-0-4-30,1203-0-99-99,1223,1203,106.0,2
1139-0-4-30,1211-0-99-99,1139,1211,65.0,2
1166-0-4-30,1218-0-99-99,1166,1218,80.0,2
1523-0-4-30,1218-0-99-99,1523,1218,64.0,2
1554-0-4-30,1218-0-99-99,1554,1218,64.0,2
1620-0-4-30,1220-0-99-99,1620,1220,167.0,2
1197-0-4-30,1227-0-99-99,1197,1227,36.0,2
1233-0-4-30,1227-0-99-99,1233,1227,129.0,2
1560-0-4-30,1243-0-99-99,1560,1243,91.0,2
1575-0-4-30,1243-0-99-99,1575,1243,158.0,2
1224-0-4-30,1247-0-99-99,1224,1247,111.0,2
1251-0-4-30,1247-0-99-99,1251,1247,54.0,2
