o_node,d_node,origin,destination,travel_time,iteration
1265-0-4-48,1393-0-99-99,1265,1393,132.0,1
1531-0-4-48,1393-0-99-99,1531,1393,147.0,1
1173-0-4-48,1394-0-99-99,1173,1394,70.0,1
1401-0-4-48,1395-0-99-99,1401,1395,48.0,1
1140-0-4-48,1402-0-99-99,1140,1402,103.0,1
1173-0-4-48,1402-0-99-99,1173,1402,97.0,1
1400-0-4-48,1402-0-99-99,1400,1402,32.0,1
1415-0-4-48,1402-0-99-99,1415,1402,91.0,1
1423-0-4-48,1411-0-99-99,1423,1411,97.0,1
1407-0-4-48,1415-0-99-99,1407,1415,48.0,1
1606-0-4-48,1415-0-99-99,1606,1415,129.0,1
1381-0-4-48,1421-0-99-99,1381,1421,97.0,1
1041-0-4-48,1423-0-99-99,1041,1423,90.0,1
1062-0-4-48,1442-0-99-99,1062,1442,104.0,1
1482-0-4-48,1472-0-99-99,1482,1472,102.0,1
1538-0-4-48,1476-0-99-99,1538,1476,104.0,1
1583-0-4-48,1481-0-99-99,1583,1481,94.0,1
1524-0-4-48,1486-0-99-99,1524,1486,93.0,1
1531-0-4-48,1490-0-99-99,1531,1490,65.0,1
1366-0-4-48,1492-0-99-99,1366,1492,170.0,1
1579-0-4-48,1492-0-99-99,1579,1492,38.0,1
1513-0-4-48,1503-0-99-99,1513,1503,61.0,1
1021-0-4-48,1519-0-99-99,1021,1519,100.0,1
1495-0-4-48,1529-0-99-99,1495,1529,94.0,1
1428-0-4-48,1530-0-99-99,1428,1530,130.0,1
1443-0-4-48,1530-0-99-99,1443,1530,110.0,1
1577-0-4-48,1536-0-99-99,1577,1536,135.0,1
1569-0-4-48,1543-0-99-99,1569,1543,102.0,1
1182-0-4-48,1544-0-99-99,1182,1544,128.0,1
1021-0-4-48,1545-0-99-99,1021,1545,97.0,1
1515-0-4-48,1561-0-99-99,1515,1561,52.0,1
1245-0-4-48,1582-0-99-99,1245,1582,98.0,1
1154-0-4-48,1599-0-99-99,1154,1599,142.0,1
1562-0-4-48,1607-0-99-99,1562,1607,86.0,1
1436-0-4-48,1081-0-99-99,1436,1081,118.0,1
1506-0-4-48,1002-0-99-99,1506,1002,109.0,2
1126-0-4-48,1006-0-99-99,1126,1006,91.0,2
1243-0-4-48,1021-0-99-99,1243,1021,97.0,2
1382-0-4-48,1021-0-99-99,1382,1021,141.0,2
1571-0-4-48,1021-0-99-99,1571,1021,118.0,2
1232-0-4-48,1022-0-99-99,1232,1022,118.0,2
1175-0-4-48,1023-0-99-99,1175,1023,71.0,2
1018-0-4-48,1034-0-99-99,1018,1034,33.0,2
1518-0-4-48,1034-0-99-99,1518,1034,127.0,2
1590-0-4-48,1034-0-99-99,1590,1034,142.0,2
1250-0-4-48,1035-0-99-99,1250,1035,73.0,2
1214-0-4-48,1036-0-99-99,1214,1036,105.0,2
1219-0-4-48,1036-0-99-99,1219,1036,100.0,2
1574-0-4-48,1036-0-99-99,1574,1036,161.0,2
1591-0-4-48,1036-0-99-99,1591,1036,135.0,2
1131-0-4-48,1037-0-99-99,1131,1037,128.0,2
1238-0-4-48,1037-0-99-99,1238,1037,115.0,2
1285-0-4-48,1037-0-99-99,1285,1037,107.0,2
1406-0-4-48,1037-0-99-99,1406,1037,110.0,2
1131-0-4-48,1038-0-99-99,1131,1038,127.0,2
1389-0-4-48,1038-0-99-99,1389,1038,107.0,2
1422-0-4-48,1038-0-99-99,1422,1038,107.0,2
1559-0-4-48,1038-0-99-99,1559,1038,112.0,2
1076-0-4-48,1042-0-99-99,1076,1042,45.0,2
1245-0-4-48,1042-0-99-99,1245,1042,110.0,2
1090-0-4-48,1043-0-99-99,1090,1043,56.0,2
1427-0-4-48,1043-0-99-99,1427,1043,103.0,2
1250-0-4-48,1045-0-99-99,1250,1045,73.0,2
1214-0-4-48,1046-0-99-99,1214,1046,96.0,2
1411-0-4-48,1046-0-99-99,1411,1046,127.0,2
1313-0-4-48,1047-0-99-99,1313,1047,56.0,2
1520-0-4-48,1047-0-99-99,1520,1047,114.0,2
1574-0-4-48,1049-0-99-99,1574,1049,156.0,2
1252-0-4-48,1050-0-99-99,1252,1050,56.0,2
1522-0-4-48,1050-0-99-99,1522,1050,109.0,2
1280-0-4-48,1051-0-99-99,1280,1051,40.0,2
1328-0-4-48,1051-0-99-99,1328,1051,68.0,2
1266-0-4-48,1052-0-99-99,1266,1052,34.0,2
1447-0-4-48,1052-0-99-99,1447,1052,108.0,2
1464-0-4-48,1052-0-99-99,1464,1052,108.0,2
1495-0-4-48,1052-0-99-99,1495,1052,113.0,2
1538-0-4-48,1052-0-99-99,1538,1052,64.0,2
1591-0-4-48,1055-0-99-99,1591,1055,138.0,2
1425-0-4-48,1056-0-99-99,1425,1056,107.0,2
1444-0-4-48,1056-0-99-99,1444,1056,113.0,2
1619-0-4-48,1056-0-99-99,1619,1056,164.0,2
1200-0-4-48,1057-0-99-99,1200,1057,104.0,2
1277-0-4-48,1057-0-99-99,1277,1057,77.0,2
1539-0-4-48,1057-0-99-99,1539,1057,77.0,2
1601-0-4-48,1057-0-99-99,1601,1057,139.0,2
1122-0-4-48,1058-0-99-99,1122,1058,92.0,2
1270-0-4-48,1058-0-99-99,1270,1058,41.0,2
1450-0-4-48,1058-0-99-99,1450,1058,118.0,2
1411-0-4-48,1059-0-99-99,1411,1059,131.0,2
1090-0-4-48,1060-0-99-99,1090,1060,38.0,2
1484-0-4-48,1062-0-99-99,1484,1062,124.0,2
1544-0-4-48,1063-0-99-99,1544,1063,114.0,2
1621-0-4-48,1063-0-99-99,1621,1063,172.0,2
1110-0-4-48,1065-0-99-99,1110,1065,33.0,2
1122-0-4-48,1065-0-99-99,1122,1065,92.0,2
1202-0-4-48,1065-0-99-99,1202,1065,97.0,2
1424-0-4-48,1065-0-99-99,1424,1065,109.0,2
1572-0-4-48,1065-0-99-99,1572,1065,170.0,2
1122-0-4-48,1066-0-99-99,1122,1066,90.0,2
1263-0-4-48,1067-0-99-99,1263,1067,67.0,2
1120-0-4-48,1068-0-99-99,1120,1068,70.0,2
1330-0-4-48,1068-0-99-99,1330,1068,95.0,2
1602-0-4-48,1068-0-99-99,1602,1068,143.0,2
1606-0-4-48,1068-0-99-99,1606,1068,137.0,2
1483-0-4-48,1070-0-99-99,1483,1070,120.0,2
1510-0-4-48,1076-0-99-99,1510,1076,129.0,2
1600-0-4-48,1076-0-99-99,1600,1076,141.0,2
1039-0-4-48,1078-0-99-99,1039,1078,36.0,2
1524-0-4-48,1078-0-99-99,1524,1078,134.0,2
1562-0-4-48,1078-0-99-99,1562,1078,174.0,2
1365-0-4-48,1080-0-99-99,1365,1080,143.0,2
1143-0-4-48,1085-0-99-99,1143,1085,103.0,2
1513-0-4-48,1090-0-99-99,1513,1090,140.0,2
1132-0-4-48,1104-0-99-99,1132,1104,99.0,2
1389-0-4-48,1113-0-99-99,1389,1113,135.0,2
1286-0-4-48,1114-0-99-99,1286,1114,61.0,2
1022-0-4-48,1116-0-99-99,1022,1116,41.0,2
1400-0-4-48,1118-0-99-99,1400,1118,122.0,2
1116-0-4-48,1124-0-99-99,1116,1124,26.0,2
1412-0-4-48,1139-0-99-99,1412,1139,102.0,2
1524-0-4-48,1141-0-99-99,1524,1141,139.0,2
1046-0-4-48,1142-0-99-99,1046,1142,90.0,2
1130-0-4-48,1145-0-99-99,1130,1145,35.0,2
1153-0-4-48,1146-0-99-99,1153,1146,89.0,2
1382-0-4-48,1150-0-99-99,1382,1150,118.0,2
1133-0-4-48,1156-0-99-99,1133,1156,43.0,2
1572-0-4-48,1157-0-99-99,1572,1157,185.0,2
1544-0-4-48,1160-0-99-99,1544,1160,131.0,2
1176-0-4-48,1168-0-99-99,1176,1168,47.0,2
1212-0-4-48,1170-0-99-99,1212,1170,107.0,2
1588-0-4-48,1180-0-99-99,1588,1180,128.0,2
1595-0-4-48,1187-0-99-99,1595,1187,145.0,2
1186-0-4-48,1202-0-99-99,1186,1202,30.0,2
1223-0-4-48,1203-0-99-99,1223,1203,108.0,2
1139-0-4-48,1211-0-99-99,1139,1211,77.0,2
1166-0-4-48,1218-0-99-99,1166,1218,111.0,2
1523-0-4-48,1218-0-99-99,1523,1218,91.0,2
1554-0-4-48,1218-0-99-99,1554,1218,146.0,2
1620-0-4-48,1220-0-99-99,1620,1220,149.0,2
1197-0-4-48,1227-0-99-99,1197,1227,33.0,2
1233-0-4-48,1227-0-99-99,1233,1227,113.0,2
1560-0-4-48,1243-0-99-99,1560,1243,73.0,2
1575-0-4-48,1243-0-99-99,1575,1243,140.0,2
1224-0-4-48,1247-0-99-99,1224,1247,93.0,2
1251-0-4-48,1247-0-99-99,1251,1247,54.0,2
