INT_ID,string
13460656,Kipling Ave / Holywell Dr
13460953,Fulford Pl / The Westway
13460821,Wincott Dr / The Westway
13470026,Royal York Rd / Cavell Ave
13469941,Royal York Rd / Newcastle St
13470172,Royal York Rd / Hillside Ave
13470120,Royal York Rd / Mimico Ave
13460679,Epping St / The Westway
13459962,Kipling Ave / Northcrest Rd / Hayhurst Rd
13459576,Dixon Rd / Kipling Ave
13460270,Kipling Ave / Nugent Rd
13469719,The Queensway / St Lawrence Ave
13459070,Kipling Ave / Kingsview Blvd
13458771,Kipling Ave / St Andrews Blvd
13456916,Weston Rd / Cardell Ave
13458463,Dixon Rd / St Phillips Rd / Royal York Rd
13458327,Dixon Rd / Roxaline St
13457971,St Phillips Rd / Riverview Hts
13469592,The Queensway / Loma Rd
13469379,Islington Ave / Jutland Rd
13469267,Islington Ave / Titan Rd
13460052,Islington Ave / Fletcher Pl
13458230,Dixon Rd / Scarlett Rd / Riverview Hts
13457738,Weston Rd / Coulter Ave
13470205,Lake Shore Blvd W / Symons St
13470151,Lake Shore Blvd W / Norris Cres
13470098,Wheatfield Rd / Mimico Ave
13459870,Islington Ave / Winnipeg Rd
13459282,Dixon Rd / Chetta Pl / Wincott Dr
13459022,Dixon Rd / Islington Ave
13457985,Weston Rd / Church St / Humber River Recreational Trl
13462163,Islington Ave / Eglinton Ave W
13461842,Islington Ave / La Rose Ave
13461563,Islington Ave / Summitcrest Dr
13461184,Islington Ave / Deerfoot Rd
13460559,Islington Ave / The Westway
13460454,Sun Row Dr / The Westway
13457446,Weston Rd / St Phillips Rd / Mallaby Park Trl
13470456,Kipling Ave / Birmingham St
13470261,Kipling Ave / Horner Ave
13470354,Kipling Ave / New Toronto St
13470520,Lake Shore Blvd W / Fifteenth St
13470505,Lake Shore Blvd W / Thirteenth St
13470504,Lake Shore Blvd W / Thirteenth St
