INT_ID,int_lon,int_lat
13454339,-79.569062223,43.726684851
13458841,-79.542844794,43.697915205
13469870,-79.486470112,43.618927832
13467650,-79.416303469,43.644725611
13460726,-79.404787971,43.685970054
13452647,-79.248656942,43.733349205
13470159,-79.545726984,43.611369147
13463124,-79.370697142,43.67200954
13461456,-79.357689394,43.681280616
13454780,-79.50047645,43.722556285
13457716,-79.292785541,43.701416107
13461408,-79.287087627,43.680539792
13454046,-79.572469356,43.728901678
13448492,-79.488278471,43.764087065
13450946,-79.568400312,43.748380297
13448888,-79.199299027,43.757039488
20105765,-79.192795175,43.764142797
13463058,-79.31037211,43.671503048
13459424,-79.327115093,43.691926784
13465489,-79.400048419,43.657948511
13463293,-79.311182173,43.669974171
13444135,-79.24155146,43.793291012
13455525,-79.245073027,43.714114013
13442803,-79.186609007,43.804977006
13453057,-79.250821492,43.73069852
13469683,-79.481211303,43.62296877
13462329,-79.30590338,43.67570099
13464027,-79.342170097,43.66615922
13458057,-79.273562213,43.698956518
30022876,-79.127671959,43.783442755
13454823,-79.258756892,43.718788767
13458442,-79.290484487,43.696550547
13469793,-79.483267663,43.620511692
13461926,-79.497563083,43.680582293
13465975,-79.360349161,43.654410506
13470022,-79.48866413,43.614949433
13450103,-79.482735477,43.752845341
13453454,-79.464498754,43.731158846
13467197,-79.395829745,43.647397808
13456203,-79.264616324,43.710252372
13447347,-79.189609494,43.767653017
13448712,-79.316176552,43.759960159
13449481,-79.244701752,43.753549769
13460447,-79.397975867,43.687315266
30109241,-79.415581673,43.642903106
13465288,-79.453683916,43.659940492
13470070,-79.489314729,43.613779314
13456161,-79.458591123,43.713279652
13455397,-79.429413555,43.717629529
13453619,-79.596042999,43.731905283
13448693,-79.493642457,43.762600981
13451124,-79.564415677,43.747310482
13453253,-79.25177138,43.729296381
13445649,-79.287428102,43.78173425
13462431,-79.434826274,43.676931189
13447596,-79.191073691,43.76598284
13469945,-79.487348934,43.617280658
13452101,-79.423867491,43.739374882
13455942,-79.428599293,43.714203997
13463317,-79.318054795,43.669904231
13462889,-79.537126689,43.675643799
13458644,-79.263163191,43.695049241
13468457,-79.544506102,43.639778064
13454004,-79.393970123,43.726858626
13468159,-79.447016163,43.641076507
13443108,-79.217799562,43.802074097
13460848,-79.407904898,43.685348449
13460575,-79.446820417,43.68727147
13463187,-79.298016182,43.670462088
13455529,-79.556677015,43.718419125
13458400,-79.475967963,43.699431797
13451959,-79.485557781,43.741082939
13463777,-79.369561948,43.668174635
13448608,-79.197580126,43.758970298
13461380,-79.322735799,43.681221554
13452527,-79.589906608,43.73880839
30072982,-79.429890255,43.672147689
13461226,-79.281418647,43.681431399
13450857,-79.310938942,43.74540443
13457805,-79.550082066,43.704442697
13466640,-79.45106952,43.651515981
13470586,-79.524995119,43.596418808
13455247,-79.299286719,43.716670214
13444980,-79.290081224,43.787250757
13468080,-79.432369415,43.641474599
13461623,-79.322146839,43.679825422
13459651,-79.287924317,43.690179281
13452245,-79.307651207,43.736824733
13443773,-79.354750234,43.797863725
13462824,-79.309086999,43.672869107
13453881,-79.382188523,43.727576421
13464097,-79.533857588,43.668380975
13460704,-79.276100796,43.684203912
13463166,-79.341694289,43.671268936
13463573,-79.337583951,43.668796419
13444596,-79.440634457,43.792472379
13453983,-79.477749343,43.72816335
13464042,-79.385340172,43.666695024
13466259,-79.527922421,43.654881144
30032676,-79.621815311,43.727451024
13450486,-79.516078252,43.750736893
13465254,-79.424790494,43.659768563
13445883,-79.286667479,43.779880461
13456080,-79.555116255,43.715102458
13453941,-79.61965768,43.730320739
13450773,-79.389010706,43.747033188
13451125,-79.222108353,43.742487588
13446213,-79.285558093,43.777253147
13444800,-79.290670613,43.788629011
20028249,-79.447553321,43.688589009
