trip_headsign_x,trip_headsign_y,delta,direction_id_x,route_short_name,shape_id_x,dist_x,direction_id_y,shape_id_y,dist_y
EAST - 52 LAWRENCE WEST TOWARDS LAWRENCE STATION,WEST - 52A LAWRENCE WEST TOWARDS PEARSON AIRPORT,34.51,0,52,602390,19651.59917,1,602412,19617.09273
EAST - 52 LAWRENCE WEST TOWARDS LAWRENCE STATION,WEST - 52B LAWRENCE WEST TOWARDS WESTWOOD EXTRA FARE REQUIRED WEST OF AIRPORT,98.35,0,52,602392,24032.86473,1,602408,23934.5175
EAST - 52 LAWRENCE WEST TOWARDS LAWRENCE STATION,WEST - 52F LAWRENCE WEST TOWARDS ROYAL YORK,106.77,0,52,602406,11685.62437,1,602410,11792.39519
EAST - 52 LAWRENCE WEST TOWARDS LAWRENCE STATION,WEST - 52A LAWRENCE WEST TOWARDS PEARSON AIRPORT,135.05,0,52,602391,19482.04594,1,602412,19617.09273
EAST - 52G LAWRENCE WEST TOWARDS LAWRENCE WEST STATION,WEST - 52F LAWRENCE WEST TOWARDS ROYAL YORK,251.46,0,52,602397,11540.93709,1,602410,11792.39519
EAST - 52 LAWRENCE WEST TOWARDS LAWRENCE STATION,WEST - 52F LAWRENCE WEST TOWARDS ROYAL YORK,1672.92,0,52,602404,10119.47887,1,602410,11792.39519
EAST - 52 LAWRENCE WEST TOWARDS LAWRENCE STATION,WEST - 52A LAWRENCE WEST TOWARDS PEARSON AIRPORT,2307.49,0,52,602403,15219.57332,1,602414,17527.06415
EAST - 53B STEELES EAST TOWARDS MARKHAM ,WEST - 53 STEELES EAST TOWARDS FINCH STATION,94.19,0,53,602428,17850.51994,1,602440,17756.33385
EAST - 53E STEELES EAST EXPRESS TOWARDS MARKHAM,WEST - 53 STEELES EAST TOWARDS FINCH STATION,94.19,0,53,602431,17850.51994,1,602440,17756.33385
EAST - 53E STEELES EAST EXPRESS TOWARDS MARKHAM,WEST - 53 STEELES EAST TOWARDS FINCH STATION ,171.98,0,53,602433,17419.62913,1,602438,17247.64864
EAST - 53B STEELES EAST TOWARDS MARKHAM ,WEST - 53 STEELES EAST TOWARDS FINCH STATION ,171.98,0,53,602430,17419.62913,1,602438,17247.64864
EAST - 53E STEELES EAST EXPRESS TOWARDS MARKHAM,WEST - 53E STEELES EAST EXPRESS TOWARDS FINCH STATION ,695.24,0,53,602432,16542.19102,1,602441,17237.4319
EAST - 53A STEELES EAST TOWARDS STAINES,WEST - 53 STEELES EAST TOWARDS FINCH STATION ,861.28,0,53,602427,21167.4765,1,602437,22028.76
EAST - 53F STEELES EAST EXPRESS TOWARDS STAINES RD,WEST - 53 STEELES EAST TOWARDS FINCH STATION ,871.50,0,53,602434,21157.25838,1,602437,22028.76
EAST - 53F STEELES EAST EXPRESS TOWARDS STAINES RD,WEST - 53 STEELES EAST TOWARDS FINCH STATION ,871.50,0,53,602435,21157.25838,1,602437,22028.76
EAST - 54E LAWRENCE EAST EXPRESS TOWARDS STARSPRAY,WEST - 54E LAWRENCE EAST EXPRESS TOWARDS LAWRENCE RT STATION,76.49,0,54,602454,13452.3543,1,602473,13528.84457
EAST - 54A LAWRENCE EAST TOWARDS STARSPRAY,WEST - 54 LAWRENCE EAST TOWARDS EGLINTON STATION,167.96,0,54,602448,27255.33269,1,602464,27423.29583
EAST - 54B LAWRENCE EAST TOWARDS ORTON PARK,WEST - 54 LAWRENCE EAST TOWARDS EGLINTON STATION,218.17,0,54,602450,20654.15183,1,602468,20872.32679
EAST - 54B LAWRENCE EAST TOWARDS ORTON PARK,WEST - 54 LAWRENCE EAST TOWARDS EGLINTON STATION,269.22,0,54,602449,20603.10586,1,602468,20872.32679
EAST - 54B LAWRENCE EAST TOWARDS ORTON PARK,WEST - 54 LAWRENCE EAST TOWARDS ORTON PARK,279.01,0,54,602462,2073.527744,1,602480,1794.518801
EAST - 54A LAWRENCE EAST TOWARDS STARSPRAY,WEST - 54 LAWRENCE EAST TOWARDS EGLINTON STATION,403.65,0,54,602455,26702.32144,1,602482,26298.66723
EAST - 54B LAWRENCE EAST TOWARDS ORTON PARK,WEST - 54 LAWRENCE EAST TOWARDS EGLINTON STATION,754.62,0,54,602451,20117.70711,1,602468,20872.32679
SOUTH - 55 WARREN PARK TOWARDS WARREN PARK,NORTH - 55 WARREN PARK TOWARDS JANE STATION,327.11,0,55,602487,1196.282639,1,602489,1523.38844
SOUTH - 55 WARREN PARK TOWARDS JANE STATION,NORTH - 55 WARREN PARK TOWARDS WARREN PARK,626.56,0,55,602486,4034.56474,1,602488,4661.126625
SOUTH - 56 LEASIDE TOWARDS DONLANDS STATION,NORTH - 56A LEASIDE TOWARDS EGLINTON STATION,53.12,0,56,602490,8029.76015,1,602492,7976.638687
SOUTH - 56 LEASIDE TOWARDS DONLANDS STATION,NORTH - 56B LEASIDE TOWARDS BRENTCLIFFE,83.95,0,56,602491,5166.306531,1,602493,5250.252813
SOUTH - 57 MIDLAND TOWARDS KENNEDY STATION,NORTH - 57 MIDLAND TOWARDS STEELES,447.10,0,57,602494,11839.85586,1,602498,12286.95763
EAST - 59 MAPLE LEAF TOWARDS LAWRENCE WEST STATION VIA CULFORD AND BENTON ,WEST - 59B MAPLE LEAF TOWARDS WESTON RD VIA CULFORD AND BENTON AND CHURCH,44.83,0,59,602503,10502.71407,1,602508,10547.54237
EAST - 59 MAPLE LEAF TOWARDS LAWRENCE WEST STATION VIA CULFORD AND BENTON ,WEST - 59B MAPLE LEAF TOWARDS WESTON RD VIA CULFORD AND BENTON AND CHURCH,83.33,0,59,602502,2785.128844,1,602510,2868.459443
