id,route,stop_sequence_new,sequence,hr,min,INT_ID
160485916,335,6,6,4,4,13463827.0
160485916,335,7,7,4,4,13464218.0
160485916,335,8,8,4,5,13464451.0
160485916,335,9,9,4,5,13464832.0
160485916,335,10,10,4,6,13465039.0
160485916,335,11,11,4,6,13465287.0
160485916,335,12,12,4,7,13465635.0
160485916,335,13,13,4,7,13466049.0
160485916,335,14,14,4,8,13466476.0
160485916,335,15,16,4,8,203.0
160485951,304,1,1,4,0,13465478.0
160485951,304,2,2,4,2,13465313.0
160485951,304,3,3,4,2,13465231.0
160485951,304,4,4,4,4,13464658.0
160485951,304,5,5,4,6,13464398.0
160485951,304,6,6,4,9,13464177.0
160485951,304,7,7,4,10,13463801.0
160485951,304,8,8,4,10,13463447.0
160485951,304,9,9,4,11,13463084.0
160485951,304,10,10,4,12,13462704.0
160485952,325,1,1,4,1,13464771.0
160485958,335,1,1,4,0,13449500.0
160485958,335,2,2,4,2,13449259.0
160485958,335,3,3,4,3,13448840.0
160485958,335,4,5,4,3,13448292.0
160485958,335,5,6,4,4,13447884.0
160485958,335,6,8,4,5,13447218.0
160485958,335,7,9,4,5,13446896.0
160485958,335,8,10,4,6,13446751.0
160485958,335,9,11,4,7,169.0
160485958,335,10,13,4,10,13446589.0
160485972,312,1,1,4,0,13461343.0
160485972,312,2,2,4,1,13461271.0
160485972,312,3,3,4,2,159.0
160485972,312,4,4,4,3,13460975.0
160485972,312,5,5,4,3,13460848.0
160485972,312,6,6,4,3,13460726.0
160485972,312,7,7,4,4,13460576.0
160485972,312,8,8,4,4,13460447.0
160485972,312,9,9,4,5,109.0
160485973,306,1,1,4,0,13464607.0
160485973,306,2,2,4,1,13464719.0
160485973,306,3,3,4,2,13464821.0
160485973,306,4,4,4,3,104.0
160485973,306,5,5,4,4,13464999.0
160485973,306,6,6,4,6,13465052.0
160485973,306,7,7,4,6,154.0
160485973,306,8,8,4,7,13465273.0
160485973,306,9,9,4,8,13465356.0
160485973,306,10,10,4,9,13465489.0
160485973,306,11,11,4,10,13465581.0
160485973,306,12,13,4,12,13465757.0
160485973,306,13,15,4,14,13466022.0
160485973,306,14,17,4,16,13466116.0
160485973,306,15,18,4,17,13466246.0
160485973,306,16,19,4,18,13466357.0
160485973,306,17,20,4,18,13466425.0
160485973,306,18,21,4,19,14043045.0
160485973,306,19,22,4,20,13466699.0
