Tue Jun 22 2021 22:37:48 GMT-0400 (EDT) - Run Time: 1213ms

Cross Tabulation Query Form - Transit - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: 2006 GTA zone of destination - gta06_dest
Table: Start time of trip - start_time

RowG:
ColG:
TblG:(1)(400-500)(2)(700-800)(3)(1100-1200)(4)(1700-1800)(5)(2000-2100)

Filters:
Regional municipality of household - region_hhld In 1
and
Regional municipality of origin - region_orig In 1
and
Regional municipality of destination - region_dest In 1
and
No. of vehicles in household - n_vehicle In 0

Tran 2016
ROW : gta06_orig
COLUMN : gta06_dest

TABLE    : start_time (2)

  gta06_orig  gta06_dest      total
          89         442         20
          90          21         23
          90          25         19
          90          36         39
          90          41         20
          90          49         17
          90          51         18
          90          55         15
          90          56         27
          90          57         21
          90          63         21
          90          65         23
          90         101         21
          90         170          9
          90         180         20
          90         189         17
          90         195         11
          90         211         22
          90         216         17
          90         270         29
          90         301         18
          90         420          4
          91         484          9
          93          52         65
          93          77         30
          93         156         23
          93         179         74
          93         240          6
          93         493         15
          94          20        153
          94          21         23
          94          36          6
          94          43          6
          94          55         53
          94         180          6
          94         213         15
          94         231         91
          94         313         86
          94         443         53
          95          19         26
          95         236         16
          96          44         55
          96          49          6
          96          52        144
          96          55         15
          96          56          6
          96          57         15
          96         218        144
          96         290         55
          96         371         55
          97          39         35
          97         308          7
          97         443          5
          98          50          5
          98          56         20
          99          21          5
          99          42         26
          99          43         14
          99          45         22
          99          51         35
          99          52         30
          99          53         42
          99          55         34
          99          56         24
          99          66         25
          99          68         48
          99          75         24
          99         102          5
          99         160         90
          99         211          5
          99         227         51
          99         306         39
          99         313         32
          99         391         38
          99         443         26
          99         490         21
         100          65         39
         100          68         31
         100          77         31
         100          81         35
         100         221         39
         100         442         30
         100         486         38
         101          35         53
         101          37         39
         101          49         39
         101          72         34
         101         210         22
         101         251         39
         101         357         48
         101         589         33
         102          45         34
         102          55        113
         102          60        109
         102         170         55
         105           4         63
         105          38         27
         105          49         14
         105          50         27
         105          51          6
         105          52         83
         105          54          9
         105          57         96
         105          67          5
         105         110         83
         105         120          8
         105         125         17
         105         156         10
         105         188          5
         105         309         11
         105         348         10
         105         371         74
         105         443          9
         105         444        122
         106          54          8
         106          55          7
         106          66         10
         106          68          5
         106         144          8
         106         204         12
         106         248          8
         106         272          8
         106         529          5
         107          36         15
         107          49         26
         107          72         62
         107         122         97
         107         236         46
         107         266         33
         108          45         17
         108          55         16
         108          70          8
         108          71          5
         108         307          9
         108         309         28
         109          63         40
         109          69         80
         109         101         48
         109         179         11
         109         389         25
         109         391          7
         110          25         44
         110          26         49
         110          36         96
         110          52         49
         110          55         55
         110          57          5
         110          67         25
         110          68         27
         110          76         25
         110          89         23
         110          96         84
         110         113         73
         110         114         21
         110         120         14
         110         155         46
         110         157         37
         110         173          6
         110         187          6
         110         231         45
         110         290         83
         110         292         37
         110         391         96
         110         473         26
         110         564         21
         113          21         12
         113          55          8
         113          77          6
         113          91         24
         113         179         41
         113         282         33
         113         371         41
         113         392          4
         114          39         21
         114          57         37
         114          67         33
         114         202         61
         114         356          4
         115          38         46
         115          44         34
         115          52         50
         115         125         26
         116          23         19
         116          43         38
         116          64         17
         116          65         36
         116         117         19
         116         218         17
         116         296         18
         116         371         19
         117          25         38
         117          34          7
         117          38         23
         117          55         41
         117          57         26
         117          65          6
         117         160         17
         117         170         19
         117         345         13
         117         371         17
         117         415         23
         118          65         58
         118          76         44
         119          42         18
         119          50         23
         119          51         19
         119          52         24
         119          54         22
         119          55         27
         119          57         24
         119          62         26
         119          63         19
         119          66         26
         119          69         60
         119          72         22
         119         122         33
         119         183         19
         119         209         42
         119         220         26
         119         231         38
         119         268         27
         119         270         44
         119         313         46
         119         331         25
         119         391         19
         119         490         37
         119         522         19
         120          51         26
         120          54         24
         120          89         37
         120         204          6
         120         427         25
         122          55         44
         122          66         24
         122          70         21
         122          77         28
         122         113         10
         122         210         25
         122         287         13
         122         358         25
         123          68         20
         124          38         83
         124          51         15
         124          56         15
         124         105         14
         125          51          6
         125          52          7
         125          55         20
         125          74         18
         125         413         29
         126          54         36
         126          63          9
         126          66         18
         126         221         24
         126         231         16
         126         297         51
         128          37         95
         128         113         30
         129          20         11
         129          57         19
         129          58         15
         129          68         24
         129          77         15
         129         122         37
         129         145         11
         129         393         11
         129         530         24
         130          59          8
         130          67         20
         130         202          9
         131          46          5
         131          71         18
         131          93         27
         131         127          5
         131         140          5
         131         317         14
         131         340          5
         131         371         77
         131         408         32
         132          69         76
         132         137         11
         132         394         21
         132         423         28
         132         443         11
         133          36         78
         133          50         31
         133         125         28
         133         135         23
         133         146         28
         133         151         78
         133         152         20
         133         159         54
         133         362         33
         133         371         31
         133         372         25
         133         594         23
         137          39         77
         137         189         24
         137         210         50
         137         391         38
         138          45         21
         138          68         39
         138         149         48
         138         218         48
         138         385         45
         139         149         30
         139         211         69
         139         415         33
         139         530         96
         139         578         53
         140          69         46
         140         157         47
         140         182         18
         142          35         29
         142         118         21
         142         138         12
         142         157         37
         142         307         24
         143          35         37
         143         124        118
         143         391        188
         143         408         35
         145          55         55
         145         125        167
         145         131        167
         145         142         39
         146         142         10
         147          25         98
         147          36          5
         147          49          5
         147          65         38
         147          68          5
         147         146         70
         148          17         15
         148         101         27
         148         107         15
         149         175        143
         149         279         54
         150          37         21
         151          54         85
         151         107         30
         151         163         13
         151         171         30
         151         191         49
         152         203          5
         153          59         20
         153         149         28
         153         151         50
         153         166          5
         153         200         47
         153         400         23
         153         414         14
         153         430         35
         154          54         24
         154         101         32
         154         191         29
         154         414         42
         158          36          9
         158         174         55
         161          21         38
         161          25         38
         161          53         38
         161         252         27
         162         122         21
         162         211          8
         163          51          9
         164          56        148
         164          57         20
         164          65          8
         164          66         10
         164         101          5
         164         200         19
         164         273          8
         164         452         69
         165          95         26
         165         391         36
         166          35         18
         166          54         99
         166          68         11
         166          97          5
         166         157         86
         166         211         29
         166         552         21
         167          40          9
         167          79         27
         167          97         27
         169          36         20
         169          56         70
         169          60         15
         169          69         94
         169          90         10
         169         391         20
         169         529         36
         170          36         38
         170          38          6
         170          49          9
         170          52          4
         170          53         24
         170          54          9
         170          62         10
         170          68         10
         170         215         15
         170         287         29
         170         418          4
         171          56         14
         171          71         14
         171         214         50
         172          25          5
         172          55         25
         172          73          9
         172          77          5
         172         137         12
         172         211          5
         172         220         23
         172         258         12
         173          24         16
         173          25         24
         173          36         17
         173          38         31
         173          43         40
         173          51         47
         173          53         13
         173          54         24
         173          55         41
         173          57         16
         173          58         22
         173          66         17
         173          68         30
         173          95         17
         173          97         19
         173         107         24
         173         131         13
         173         157         61
         173         159         24
         173         173         19
         173         191         22
         173         200         37
         173         202         14
         173         209         24
         173         279         12
         173         282         26
         173         335         39
         173         391         29
         173         393         24
         173         416        122
         173         442         24
         173         528         17
         173         585         24
         174          22         19
         174          54         24
         174          77         24
         174         223         24
         174         300         17
         175          23         34
         175          25         35
         175          48          8
         175          52         67
         175          68         18
         175         125         37
         175         150         45
         175         157        122
         175         204         67
         175         301         18
         175         391         67
         175         420         38
         176          74          7
         176          93         15
         176         154          7
         176         210         25
         176         504         18
         177          37         32
         177          38         21
         177          53         13
         177          56         24
         177          57         14
         177          68         12
         177          77         37
         177          89         37
         177         101         24
         177         113         19
         177         157         32
         177         180         14
         177         186         17
         177         189          6
         177         200         14
         177         248         55
         177         290         21
         177         299         14
         177         307         13
         177         313         21
         177         410         10
         177         476         29
         177         484         21
         179          53         45
         179         427         45
         181          65         27
         181          69         27
         181          76         16
         181         213         33
         181         371         40
         182          36         25
         182          43         11
         182          52         36
         182          67         15
         182          77         19
         182          92         15
         182         174         42
         182         222         31
         182         442         21
         182         466         27
         182         504        105
         183          38         32
         183         157         29
         183         250         73
         183         312         13
         183         391         73
         184          40         11
         184          53         13
         184          56          8
         184         217         27
         184         279         20
         184         315         17
         184         437         39
         185          47         16
         185          71         16
         185         415         14
         185         442         14
         186          54         16
         186         165         59
         186         461         14
         187          57         33
         188          35         33
         188          57         11
         188          60         32
         188          63         42
         188          77         42
         188         218         32
         188         394         92
         188         566         92
         189          48         21
         189          55         26
         189          66         26
         191          21         13
         191          45         13
         191          46         18
         191          69         17
         191         218         13
         191         436         13
         193          52         38
         193         276         15
         193         359         76
         193         389         76
         194          25          4
         194          65         22
         194         486         28
         195          46         34
         195          52          4
         195          54         16
         195          55         16
         195          59         34
         195          93         93
         195         195         16
         195         212         93
         195         427         93
         196          51         48
         196          96          9
         196         179         20
         197          38         65
         197         484         17
         200          37         13
         200          57         29
         200          60         30
         201          37         38
         201          43         39
         201          47         28
         201          48         38
         201          61         61
         201          63         15
         201          65         28
         201          69         16
         201         218         24
         201         413         30
         201         454         39
         201         484         30
         202          21         28
         202          33         28
         202          41         33
         202          47         16
         202          50         33
         202          54         22
         202          55         40
         202          56         47
         202          57         38
         202          65         20
         202          69        144
         202          71         20
         202          77         37
         202          93         27
         202         149         36
         202         170         18
         202         218         20
         202         231         28
         202         392         28
         202         443         19
         202         493         64
         203          25         28
         203          55         48
         203          57         13
         203          70         26
         203         200         26
         204          37         29
         204          55         29
         204          65         49
         204         218         35
         204         221         42
         204         263         24
         204         415         17
         204         435          5
         204         458         35
         204         476          5
         205          78         31
         205         236         14
         205         289         31
         205         492         12
         209          25         30
         209          35         16
         209          36         18
         209          37         22
         209          43         27
         209          45          4
         209          46         12
         209          50         23
         209          51         12
         209          56         24
         209          59         22
         209          65         12
         209          77         14
         209         181         16
         209         202         46
         209         217         26
         209         218         22
         209         313         24
         209         391         24
         209         415         16
         209         430         22
         209         443         22
         209         476         21
         209         484         59
         209         508         16
         209         531         25
         210          22         31
         210          52         19
         210          53         19
         210          56         25
         210          62         30
         210          66         51
         210          70         22
         210          78         23
         210         179         17
         210         203         33
         210         228         25
         210         231         19
         210         331         19
         210         427         20
         210         452         26
         210         526         28
         211           3         23
         211          23         37
         211          25         28
         211          33         35
         211          36         33
         211          39         27
         211          40         46
         211          42         16
         211          43         37
         211          50         33
         211          51         15
         211          54         65
         211          55         50
         211          57         48
         211          60         15
         211          63         33
         211          65         15
         211          67         15
         211          68         19
         211          69         12
         211          81         35
         211          89         19
         211          93         31
         211         109         30
         211         110         35
         211         160         38
         211         191         12
         211         195         27
         211         204         19
         211         209         27
         211         224         19
         211         307         30
         211         391         15
         211         442         35
         211         453         27
         211         525         21
         212          22         13
         212          43         12
         212          57         29
         212          78         18
         212          89         29
         212         101         27
         212         152         13
         212         157         13
         212         211         26
         212         243         30
         212         313         18
         212         391         24
         214          36         41
         214          49         41
         214         106         38
         214         358         20
         216         170         15
         216         215         24
         216         391         20
         216         430         21
         216         443         13
         216         463         13
         216         484         20
         217          49         52
         217         211         45
         217         231         44
         219          57         11
         219          60         45
         220         116         29
         222           4         30
         222          38         12
         222          53         28
         222          65         13
         222         210         50
         222         223         82
         222         231         82
         222         250         13
         222         251         11
         222         275         20
         222         289         19
         222         444          5
         222         476         51
         222         529         16
         223          25        128
         223          37         26
         223          38         34
         223          55         58
         223          57         33
         223          74         19
         223          75         13
         223         241        154
         223         258         22
         223         264         33
         223         391         24
         224          55         13
         228         231         22
         229          45         22
         229         189         21
         230         413         22
         230         470         45
         232          38         34
         232          59         15
         232         242         49
         232         481         99
         232         503         46
         233          29         92
         233          70         18
         233         196         51
         233         211         32
         233         493         84
