INT_ID,bc_single,o_node_time,d_node_time,o_node,d_node
13465058,0.01775147928994083,1025-0-20-45,1523-0-99-99,1025,1523
222,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13462704,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
220,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13452869,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13464177,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
1533,1.0,1025-0-20-45,1533-0-99-99,1025,1533
221,1.0,1025-0-20-45,1533-0-99-99,1025,1533
224,1.0,1025-0-20-45,1533-0-99-99,1025,1533
228,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13465975,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13463801,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13454124,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13465478,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13465231,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
219,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13465313,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13466241,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13465784,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13463084,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
227,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13454396,1.0,1025-0-20-45,1533-0-99-99,1025,1533
218,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13463447,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
1025,1.0,1025-0-20-45,1533-0-99-99,1025,1533
226,1.0,1025-0-20-45,1533-0-99-99,1025,1533
223,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13466482,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13453966,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13464398,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
14243510,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13453613,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13464658,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13453193,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13466404,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
225,1.0,1025-0-20-45,1533-0-99-99,1025,1533
13464607,0.46153846153846156,1025-0-20-45,1533-0-99-99,1025,1533
13465715,0.3076923076923077,1025-0-20-45,1533-0-99-99,1025,1533
217,0.7692307692307693,1025-0-20-45,1533-0-99-99,1025,1533
13463693,0.46153846153846156,1025-0-20-45,1533-0-99-99,1025,1533
13465366,0.38461538461538464,1025-0-20-45,1533-0-99-99,1025,1533
13465979,0.38461538461538464,1025-0-20-45,1533-0-99-99,1025,1533
13463953,0.46153846153846156,1025-0-20-45,1533-0-99-99,1025,1533
13464912,0.46153846153846156,1025-0-20-45,1533-0-99-99,1025,1533
216,0.7692307692307693,1025-0-20-45,1533-0-99-99,1025,1533
13466341,0.15384615384615385,1025-0-20-45,1533-0-99-99,1025,1533
105,0.3076923076923077,1025-0-20-45,1533-0-99-99,1025,1533
106,0.3076923076923077,1025-0-20-45,1533-0-99-99,1025,1533
103,0.3076923076923077,1025-0-20-45,1533-0-99-99,1025,1533
102,0.3076923076923077,1025-0-20-45,1533-0-99-99,1025,1533
104,0.3076923076923077,1025-0-20-45,1533-0-99-99,1025,1533
13466110,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13466199,0.23076923076923078,1025-0-20-45,1533-0-99-99,1025,1533
13465894,0.07692307692307693,1025-0-20-45,1533-0-99-99,1025,1533
13443721,1.0,1025-0-20-45,1590-0-99-99,1025,1590
115,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13443657,1.0,1025-0-20-45,1590-0-99-99,1025,1590
108,1.0,1025-0-20-45,1590-0-99-99,1025,1590
105,1.0,1025-0-20-45,1590-0-99-99,1025,1590
110,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13444488,1.0,1025-0-20-45,1590-0-99-99,1025,1590
106,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13443490,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13443021,1.0,1025-0-20-45,1590-0-99-99,1025,1590
114,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13443144,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13442123,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13442071,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13442747,1.0,1025-0-20-45,1590-0-99-99,1025,1590
113,1.0,1025-0-20-45,1590-0-99-99,1025,1590
111,1.0,1025-0-20-45,1590-0-99-99,1025,1590
103,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13442279,1.0,1025-0-20-45,1590-0-99-99,1025,1590
102,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13442179,1.0,1025-0-20-45,1590-0-99-99,1025,1590
13443242,1.0,1025-0-20-45,1590-0-99-99,1025,1590
