o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1017-0-11-29,1139-0-99-99,13464403,13464520,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464520,13464607,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464586,13464667,506.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13464607,13464719,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464667,13464785,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464719,13464821,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464785,13464403,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464821,104,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464879,13464965,505.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13464965,13465058,505.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13464999,13465052,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13465052,154,506.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13465058,13465179,505.0,0.3076923076923077
1017-0-11-29,1139-0-99-99,13465179,13465269,505.0,0.38461538461538464
1017-0-11-29,1139-0-99-99,13465269,13465366,505.0,0.46153846153846156
1017-0-11-29,1139-0-99-99,13465366,13465569,505.0,0.46153846153846156
1017-0-11-29,1139-0-99-99,13465569,13465671,505.0,0.46153846153846156
1017-0-11-29,1139-0-99-99,13465571,13465673,501.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13465671,103,505.0,0.46153846153846156
1017-0-11-29,1139-0-99-99,13465673,13465795,501.0,0.3076923076923077
1017-0-11-29,1139-0-99-99,13465784,13465975,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13465795,13465894,501.0,0.3076923076923077
1017-0-11-29,1139-0-99-99,13465822,13465901,505.0,0.46153846153846156
1017-0-11-29,1139-0-99-99,13465894,13465979,501.0,0.3076923076923077
1017-0-11-29,1139-0-99-99,13465901,153,505.0,0.46153846153846156
1017-0-11-29,1139-0-99-99,13465975,14243510,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13465979,13466110,501.0,0.3076923076923077
1017-0-11-29,1139-0-99-99,13466110,13466199,501.0,0.3076923076923077
1017-0-11-29,1139-0-99-99,13466199,102,501.0,0.3076923076923077
1017-0-11-29,1139-0-99-99,13466241,13466404,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13466404,13466482,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13466418,152,501.0,0.15384615384615385
1017-0-11-29,1139-0-99-99,13466482,13466630,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13466630,13466729,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,13466729,101,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,14243510,13466241,504.0,0.07692307692307693
1017-0-11-29,1139-0-99-99,151,152,1.0,0.23076923076923078
1017-0-11-29,1139-0-99-99,152,153,1.0,0.38461538461538464
1017-0-11-29,1139-0-99-99,153,154,1.0,0.8461538461538461
1017-0-11-29,1139-0-99-99,154,155,1.0,1.0
1017-0-11-29,1139-0-99-99,155,156,1.0,1.0
1017-0-11-29,1139-0-99-99,156,157,1.0,1.0
1017-0-11-29,1139-0-99-99,157,158,1.0,1.0
1017-0-11-29,1139-0-99-99,158,159,1.0,1.0
1017-0-11-29,1139-0-99-99,159,160,1.0,1.0
1017-0-11-29,1139-0-99-99,160,161,1.0,1.0
1017-0-11-29,1139-0-99-99,161,162,1.0,1.0
1017-0-11-29,1139-0-99-99,162,13455749,52.0,1.0
1017-0-11-29,1209-0-99-99,102,103,1.0,0.2
1017-0-11-29,1209-0-99-99,103,104,1.0,0.8
1017-0-11-29,1209-0-99-99,104,105,1.0,1.0
1017-0-11-29,1209-0-99-99,105,106,1.0,1.0
