o_node_time,d_node_time,INT_ID_o,INT_ID_d,route,bc_single
1021-0-4-39,1519-0-99-99,13465179,13465567,365.0,0.015853658536585366
1021-0-4-39,1519-0-99-99,13465179,20235156,365.0,0.02195121951219512
1021-0-4-39,1519-0-99-99,13465231,13464658,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13465313,13465231,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13465478,13465313,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13465567,13465179,365.0,0.01707317073170732
1021-0-4-39,1519-0-99-99,13465567,13465795,365.0,0.013414634146341463
1021-0-4-39,1519-0-99-99,13465705,208,300.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,13465705,209,300.0,0.007317073170731708
1021-0-4-39,1519-0-99-99,13465784,13465478,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13465795,13465567,365.0,0.012195121951219513
1021-0-4-39,1519-0-99-99,13465795,13465959,365.0,0.01097560975609756
1021-0-4-39,1519-0-99-99,13465959,13465795,365.0,0.00975609756097561
1021-0-4-39,1519-0-99-99,13465959,13466117,365.0,0.00853658536585366
1021-0-4-39,1519-0-99-99,13465975,13465784,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13466117,13466241,365.0,0.00853658536585366
1021-0-4-39,1519-0-99-99,13466241,13465959,365.0,0.007317073170731708
1021-0-4-39,1519-0-99-99,13466241,13466427,365.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13466241,14243510,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,13466427,13466475,365.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13466475,13466241,365.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,13466475,14036494,365.0,0.0024390243902439024
1021-0-4-39,1519-0-99-99,13466668,13466475,365.0,0.0024390243902439024
1021-0-4-39,1519-0-99-99,13466801,13466668,365.0,0.0024390243902439024
1021-0-4-39,1519-0-99-99,14036494,13466801,365.0,0.0024390243902439024
1021-0-4-39,1519-0-99-99,14243510,13465975,304.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,156,13463747,300.0,0.5353658536585366
1021-0-4-39,1519-0-99-99,156,214,300.0,0.43658536585365854
1021-0-4-39,1519-0-99-99,20235156,13464785,365.0,0.026829268292682926
1021-0-4-39,1519-0-99-99,20235156,13465179,365.0,0.018292682926829267
1021-0-4-39,1519-0-99-99,203,205,300.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,205,203,300.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,205,206,300.0,0.0024390243902439024
1021-0-4-39,1519-0-99-99,206,205,300.0,0.0024390243902439024
1021-0-4-39,1519-0-99-99,206,207,300.0,0.003658536585365854
1021-0-4-39,1519-0-99-99,207,206,300.0,0.003658536585365854
1021-0-4-39,1519-0-99-99,207,208,300.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,208,13465705,300.0,0.006097560975609756
1021-0-4-39,1519-0-99-99,208,207,300.0,0.004878048780487805
1021-0-4-39,1519-0-99-99,209,13465705,300.0,0.007317073170731708
1021-0-4-39,1519-0-99-99,209,210,300.0,0.03414634146341464
1021-0-4-39,1519-0-99-99,210,13465043,300.0,0.06219512195121951
1021-0-4-39,1519-0-99-99,210,209,300.0,0.03414634146341464
1021-0-4-39,1519-0-99-99,211,13465043,300.0,0.08658536585365853
1021-0-4-39,1519-0-99-99,211,212,300.0,0.1329268292682927
1021-0-4-39,1519-0-99-99,212,211,300.0,0.1329268292682927
1021-0-4-39,1519-0-99-99,212,213,300.0,0.1548780487804878
1021-0-4-39,1519-0-99-99,213,212,300.0,0.1548780487804878
1021-0-4-39,1519-0-99-99,213,214,300.0,0.29634146341463413
1021-0-4-39,1519-0-99-99,214,13464417,317.0,0.0012195121951219512
1021-0-4-39,1519-0-99-99,214,156,300.0,0.43658536585365854
1021-0-4-39,1519-0-99-99,214,213,300.0,0.29634146341463413
1021-0-4-39,1519-0-99-99,215,106,300.0,0.675609756097561
1021-0-4-39,1519-0-99-99,215,13463747,300.0,0.5841463414634146
1021-0-4-39,1519-0-99-99,216,106,300.0,0.45
1021-0-4-39,1519-0-99-99,216,13463124,300.0,0.7378048780487805
1021-0-4-39,1519-0-99-99,217,13463124,300.0,0.00975609756097561
1021-0-4-39,1519-0-99-99,217,218,300.0,0.9207317073170732
1021-0-4-39,1519-0-99-99,218,13461456,322.0,0.003658536585365854
1021-0-4-39,1519-0-99-99,218,217,300.0,0.01097560975609756
1021-0-4-39,1519-0-99-99,218,219,300.0,0.9402439024390243
1021-0-4-39,1519-0-99-99,219,220,300.0,0.9402439024390243
1021-0-4-39,1519-0-99-99,220,13461657,300.0,0.9463414634146341
1021-0-4-39,1519-0-99-99,221,13461356,300.0,0.9463414634146341
1021-0-4-39,1519-0-99-99,222,223,300.0,0.9463414634146341
1021-0-4-39,1519-0-99-99,223,224,300.0,0.9817073170731707
1021-0-4-39,1519-0-99-99,224,225,2.0,0.49085365853658536
1021-0-4-39,1519-0-99-99,224,225,300.0,0.49085365853658536
1021-0-4-39,1519-0-99-99,225,226,2.0,1.0
1021-0-4-39,1519-0-99-99,226,227,2.0,1.0
1021-0-4-39,1519-0-99-99,227,228,2.0,1.0
1021-0-4-39,1519-0-99-99,228,13452476,116.0,1.0
1021-0-4-39,1545-0-99-99,105,13463723,320.0,0.05
1021-0-4-39,1545-0-99-99,106,215,300.0,0.6036585365853658
1021-0-4-39,1545-0-99-99,106,216,300.0,0.7219512195121951
1021-0-4-39,1545-0-99-99,13454594,13454486,102.0,0.5
1021-0-4-39,1545-0-99-99,13454685,13454594,102.0,1.0
1021-0-4-39,1545-0-99-99,13454814,13454685,102.0,1.0
1021-0-4-39,1545-0-99-99,13454978,13454814,102.0,1.0
1021-0-4-39,1545-0-99-99,13455179,13454978,102.0,1.0
1021-0-4-39,1545-0-99-99,13455957,13455179,113.0,1.0
1021-0-4-39,1545-0-99-99,13456203,13455957,113.0,1.0
1021-0-4-39,1545-0-99-99,13456762,13456203,113.0,1.0
1021-0-4-39,1545-0-99-99,13457866,30029327,113.0,1.0
1021-0-4-39,1545-0-99-99,13458057,13457866,113.0,1.0
1021-0-4-39,1545-0-99-99,13458308,13458057,113.0,1.0
1021-0-4-39,1545-0-99-99,13458312,13456762,113.0,1.0
1021-0-4-39,1545-0-99-99,13458733,13458308,113.0,1.0
1021-0-4-39,1545-0-99-99,13458963,13458733,113.0,1.0
1021-0-4-39,1545-0-99-99,13459010,13459424,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459025,13458963,113.0,1.0
1021-0-4-39,1545-0-99-99,13459143,13459010,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459232,13459025,300.0,1.0
1021-0-4-39,1545-0-99-99,13459300,13459143,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459334,13459232,300.0,1.0
1021-0-4-39,1545-0-99-99,13459424,13459689,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459436,13459300,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459445,13459334,300.0,1.0
1021-0-4-39,1545-0-99-99,13459601,13459436,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459659,13459445,300.0,1.0
1021-0-4-39,1545-0-99-99,13459689,13459980,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459808,13459601,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459820,13459659,300.0,1.0
1021-0-4-39,1545-0-99-99,13459931,13459808,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13459980,13460244,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13460103,13459931,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13460112,13460103,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13460244,13460535,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13460374,13460112,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13460535,223,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13460822,225,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13460922,13460822,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13460964,13460374,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13461057,13460922,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13461235,13461057,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13461356,222,300.0,0.9463414634146341
1021-0-4-39,1545-0-99-99,13461380,223,322.0,0.03048780487804878
1021-0-4-39,1545-0-99-99,13461421,13461235,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13461456,13460964,322.0,0.004878048780487805
1021-0-4-39,1545-0-99-99,13461456,218,322.0,0.0024390243902439024
1021-0-4-39,1545-0-99-99,13461602,13461421,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13461623,13461380,322.0,0.03048780487804878
1021-0-4-39,1545-0-99-99,13461657,221,300.0,0.9463414634146341
1021-0-4-39,1545-0-99-99,13461912,13461602,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13462117,220,325.0,0.006097560975609756
1021-0-4-39,1545-0-99-99,13462225,13461623,322.0,0.03048780487804878
1021-0-4-39,1545-0-99-99,13462284,13461912,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13462427,13462225,322.0,0.03048780487804878
1021-0-4-39,1545-0-99-99,13462427,13462284,306.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13462427,13462844,306.0,0.006097560975609756
1021-0-4-39,1545-0-99-99,13462518,13462117,325.0,0.006097560975609756
1021-0-4-39,1545-0-99-99,13462704,218,304.0,0.01097560975609756
1021-0-4-39,1545-0-99-99,13462844,13462427,306.0,0.036585365853658534
1021-0-4-39,1545-0-99-99,13462844,13462427,322.0,0.018292682926829267
1021-0-4-39,1545-0-99-99,13462891,13462518,325.0,0.006097560975609756
1021-0-4-39,1545-0-99-99,13462953,13462844,306.0,0.04878048780487805
1021-0-4-39,1545-0-99-99,13463082,13462953,306.0,0.04878048780487805
1021-0-4-39,1545-0-99-99,13463084,13462704,304.0,0.00975609756097561
1021-0-4-39,1545-0-99-99,13463124,216,300.0,0.07682926829268293
1021-0-4-39,1545-0-99-99,13463124,217,300.0,0.8317073170731707
1021-0-4-39,1545-0-99-99,13463124,217,365.0,0.08780487804878048
1021-0-4-39,1545-0-99-99,13463166,13462891,325.0,0.006097560975609756
