index,station1,station2,platform1_end_time_left,platform2_start_time_left,year,month,day,hour,date,dow,period,platform1_end_time_right,platform2_start_time_right,gap,train_id
62,lawrence_east,kennedy,2019-12-05 13:02:14.874000-05:00,2019-12-05 13:11:28.881000-05:00,2019,12,5,13,2019-12-05,3,MD,2019-12-05 13:12:18.896000-05:00,2019-12-05 13:20:39.828000-05:00,550,24
2,lawrence_east,kennedy,2019-12-04 11:04:12.147000-05:00,2019-12-04 11:10:25.777000-05:00,2019,12,4,11,2019-12-04,2,MD,2019-12-04 11:15:08.781000-05:00,2019-12-04 11:19:07.269000-05:00,521,1
17,lawrence_east,kennedy,2019-12-04 11:31:41.006000-05:00,2019-12-04 11:38:28.136000-05:00,2019,12,4,11,2019-12-04,2,MD,2019-12-04 11:42:49.571000-05:00,2019-12-04 11:47:02.934000-05:00,514,6
40,lawrence_east,kennedy,2019-12-04 12:07:59.439000-05:00,2019-12-04 12:13:49.840000-05:00,2019,12,4,12,2019-12-04,2,MD,2019-12-04 12:18:45.088000-05:00,2019-12-04 12:23:38.607000-05:00,588,12
60,lawrence_east,kennedy,2019-12-04 12:36:07.692000-05:00,2019-12-04 12:42:38.219000-05:00,2019,12,4,12,2019-12-04,2,MD,2019-12-04 12:48:07.588000-05:00,2019-12-04 12:52:16.103000-05:00,577,16
156,lawrence_east,kennedy,2019-12-04 14:16:13.817000-05:00,2019-12-04 14:22:00.472000-05:00,2019,12,4,14,2019-12-04,2,MD,2019-12-04 14:09:07.956000-05:00,2019-12-04 14:31:49.013000-05:00,588,31
172,lawrence_east,kennedy,2019-12-04 14:44:56.354000-05:00,2019-12-04 14:48:56.435000-05:00,2019,12,4,14,2019-12-04,2,MD,2019-12-04 14:49:53.259000-05:00,2019-12-04 14:58:11.052000-05:00,554,35
185,lawrence_east,kennedy,2019-12-04 14:58:21.132000-05:00,2019-12-04 15:04:35.631000-05:00,2019,12,4,14,2019-12-04,2,MD,2019-12-04 15:04:19.579000-05:00,2019-12-04 15:12:13.408000-05:00,457,37
230,lawrence_east,kennedy,2019-12-04 15:54:14.566000-05:00,2019-12-04 16:00:04.417000-05:00,2019,12,4,15,2019-12-04,2,MD,2019-12-04 15:57:55.921000-05:00,2019-12-04 16:09:27.253000-05:00,562,47
22,lawrence_east,kennedy,2019-12-27 11:38:52.320000-05:00,2019-12-27 11:44:02.853000-05:00,2019,12,27,11,2019-12-27,4,MD,2019-12-27 11:40:56.988000-05:00,2019-12-27 11:52:19.041000-05:00,496,7
107,lawrence_east,kennedy,2019-12-27 13:39:25.320000-05:00,2019-12-27 13:45:51.512000-05:00,2019,12,27,13,2019-12-27,4,MD,2019-12-27 13:49:22.463000-05:00,2019-12-27 13:57:14.181000-05:00,682,29
15,lawrence_east,kennedy,2019-12-16 11:23:39.203000-05:00,2019-12-16 11:31:40.239000-05:00,2019,12,16,11,2019-12-16,0,MD,2019-12-16 11:31:07.112000-05:00,2019-12-16 11:40:02.839000-05:00,502,5
