station1,station2,depart_time,arrival_time
kennedy,lawrence_east,2019-12-27 22:11:22.830000128-05:00,2019-12-27 22:16:08.798499840-05:00
kennedy,lawrence_east,2019-12-27 22:11:23.542000128-05:00,2019-12-27 22:16:29.551000064-05:00
kennedy,lawrence_east,2019-12-27 22:12:05.366000128-05:00,2019-12-27 22:22:52.750000128-05:00
kennedy,lawrence_east,2019-12-27 22:21:56.165499904-05:00,2019-12-27 22:29:12.708499968-05:00
kennedy,lawrence_east,2019-12-27 22:21:48.543000064-05:00,2019-12-27 22:30:05.820000-05:00
kennedy,lawrence_east,2019-12-27 22:38:01.075000064-05:00,2019-12-27 22:50:02.104999936-05:00
kennedy,lawrence_east,2019-12-27 22:53:56.184999936-05:00,2019-12-27 23:03:54.022000128-05:00
kennedy,lawrence_east,2019-12-27 22:53:58.374000128-05:00,2019-12-27 23:05:48.876999936-05:00
kennedy,lawrence_east,2019-12-27 23:07:03.699000064-05:00,2019-12-27 23:17:27.056000-05:00
kennedy,lawrence_east,2019-12-27 23:13:56.123000064-05:00,2019-12-27 23:23:26.528499968-05:00
kennedy,lawrence_east,2019-12-27 23:17:26.302499840-05:00,2019-12-27 23:27:22.794999808-05:00
kennedy,lawrence_east,2019-12-27 23:24:40.746999808-05:00,2019-12-27 23:33:06.584999936-05:00
kennedy,lawrence_east,2019-12-27 23:30:42.337999872-05:00,2019-12-27 23:36:43.356000-05:00
kennedy,lawrence_east,2019-12-27 23:30:54.918000128-05:00,2019-12-27 23:39:44.852000-05:00
kennedy,lawrence_east,2019-12-27 23:36:02.456000-05:00,2019-12-27 23:44:07.099000064-05:00
kennedy,lawrence_east,2019-12-27 23:42:02.212000-05:00,2019-12-27 23:51:18.611000064-05:00
kennedy,lawrence_east,2019-12-27 23:52:18.920000-05:00,2019-12-28 00:00:23.266500096-05:00
kennedy,lawrence_east,2019-12-28 00:05:30.617999872-05:00,2019-12-28 00:11:06.503000064-05:00
kennedy,lawrence_east,2019-12-28 00:07:57.220000-05:00,2019-12-28 00:14:27.626500096-05:00
kennedy,lawrence_east,2019-12-28 00:19:23.032999936-05:00,2019-12-28 00:24:20.444999936-05:00
kennedy,lawrence_east,2019-12-28 00:19:21.023000064-05:00,2019-12-28 00:24:43.673999872-05:00
kennedy,lawrence_east,2019-12-28 00:25:16.080000-05:00,2019-12-28 00:30:33.868999936-05:00
kennedy,lawrence_east,2019-12-28 00:19:18.572000-05:00,2019-12-28 00:32:15.516000-05:00
kennedy,lawrence_east,2019-12-28 00:38:32.824999936-05:00,2019-12-28 00:47:48.644999936-05:00
kennedy,lawrence_east,2019-12-28 00:47:41.354500096-05:00,2019-12-28 00:54:14.453499904-05:00
kennedy,lawrence_east,2019-12-16 20:03:07.229499904-05:00,2019-12-16 20:10:35.329499904-05:00
kennedy,lawrence_east,2019-12-16 20:05:20.203000064-05:00,2019-12-16 20:11:40.564000-05:00
kennedy,lawrence_east,2019-12-16 20:14:26.672000-05:00,2019-12-16 20:21:58.891000064-05:00
