o_node,d_node,origin,destination,travel_time,date,period,trial
1602-0-4-11,1068-0-99-99,1602,1068,104.0,2019-11-28,EM,1
1606-0-4-11,1068-0-99-99,1606,1068,104.0,2019-11-28,EM,1
1483-0-4-11,1070-0-99-99,1483,1070,91.0,2019-11-28,EM,1
1510-0-4-11,1076-0-99-99,1510,1076,105.0,2019-11-28,EM,1
1600-0-4-11,1076-0-99-99,1600,1076,105.0,2019-11-28,EM,1
1039-0-4-11,1078-0-99-99,1039,1078,31.0,2019-11-28,EM,1
1524-0-4-11,1078-0-99-99,1524,1078,87.0,2019-11-28,EM,1
1562-0-4-11,1078-0-99-99,1562,1078,121.0,2019-11-28,EM,1
1365-0-4-11,1080-0-99-99,1365,1080,100.0,2019-11-28,EM,1
1143-0-4-11,1085-0-99-99,1143,1085,71.0,2019-11-28,EM,1
1513-0-4-11,1090-0-99-99,1513,1090,100.0,2019-11-28,EM,1
1132-0-4-11,1104-0-99-99,1132,1104,52.0,2019-11-28,EM,1
1389-0-4-11,1113-0-99-99,1389,1113,83.0,2019-11-28,EM,1
1286-0-4-11,1114-0-99-99,1286,1114,83.0,2019-11-28,EM,1
1022-0-4-11,1116-0-99-99,1022,1116,36.0,2019-11-28,EM,1
1400-0-4-11,1118-0-99-99,1400,1118,60.0,2019-11-28,EM,1
1116-0-4-11,1124-0-99-99,1116,1124,29.0,2019-11-28,EM,1
1412-0-4-11,1139-0-99-99,1412,1139,53.0,2019-11-28,EM,1
1524-0-4-11,1141-0-99-99,1524,1141,90.0,2019-11-28,EM,1
1046-0-4-11,1142-0-99-99,1046,1142,55.0,2019-11-28,EM,1
1130-0-4-11,1145-0-99-99,1130,1145,35.0,2019-11-28,EM,1
1153-0-4-11,1146-0-99-99,1153,1146,37.0,2019-11-28,EM,1
1382-0-4-11,1150-0-99-99,1382,1150,66.0,2019-11-28,EM,1
1133-0-4-11,1156-0-99-99,1133,1156,74.0,2019-11-28,EM,1
1572-0-4-11,1157-0-99-99,1572,1157,127.0,2019-11-28,EM,1
1544-0-4-11,1160-0-99-99,1544,1160,88.0,2019-11-28,EM,1
1176-0-4-11,1168-0-99-99,1176,1168,45.0,2019-11-28,EM,1
1212-0-4-11,1170-0-99-99,1212,1170,74.0,2019-11-28,EM,1
1588-0-4-11,1180-0-99-99,1588,1180,96.0,2019-11-28,EM,1
1595-0-4-11,1187-0-99-99,1595,1187,93.0,2019-11-28,EM,1
1186-0-4-11,1202-0-99-99,1186,1202,30.0,2019-11-28,EM,1
1223-0-4-11,1203-0-99-99,1223,1203,63.0,2019-11-28,EM,1
1139-0-4-11,1211-0-99-99,1139,1211,61.0,2019-11-28,EM,1
1166-0-4-11,1218-0-99-99,1166,1218,101.0,2019-11-28,EM,1
1523-0-4-11,1218-0-99-99,1523,1218,67.0,2019-11-28,EM,1
1554-0-4-11,1218-0-99-99,1554,1218,96.0,2019-11-28,EM,1
1620-0-4-11,1220-0-99-99,1620,1220,81.0,2019-11-28,EM,1
